time,position,velocity,error
9.0,"[19.979212240837512, 49.78091984848543, 9.990940514589983]","[0.016976531286655216, 0.17891399536627972, 0.007398519306574869]","[0.020787759162487873, 0.21908015151456794, 0.009059485410016777]"
9.1,"[19.980781720815163, 49.7974604437759, 9.991624507551787]","[0.015694799776490242, 0.16540595290467763, 0.006839929618045915]","[0.019218279184837428, 0.20253955622410302, 0.008375492448212896]"
9.200000000000001,"[19.98223270474035, 49.81275222081117, 9.992256858908068]","[0.014509839251886092, 0.15291777035270826, 0.006323513562801253]","[0.01776729525964882, 0.18724777918883007, 0.007743141091932415]"
9.3,"[19.98357413908876, 49.82688946561947, 9.992841467610377]","[0.013414343484082991, 0.1413724480830112, 0.005846087023090973]","[0.016425860911240875, 0.17311053438052681, 0.007158532389622607]"
9.4,"[19.98481429487536, 49.839959345615036, 9.993381938238647]","[0.012401557866017043, 0.13069879995561706, 0.0054047062826931835]","[0.015185705124640236, 0.1600406543849644, 0.0066180617613529336]"
9.5,"[19.985960818651844, 49.85204244705486, 9.993881603226301]","[0.01146523776483832, 0.12083101439827715, 0.004996649876543913]","[0.014039181348156404, 0.14795755294513668, 0.006118396773699075]"
9.600000000000001,"[19.987020779653715, 49.86321327191743, 9.994343543407375]","[0.010599610018704908, 0.11170824862565354, 0.0046194018107375]","[0.012979220346284848, 0.1367867280825692, 0.0056564565926251476]"
9.700000000000001,"[19.988000713387784, 49.87354069726692, 9.994770607012315]","[0.009799337340670178, 0.10327425349486674, 0.004270636049403365]","[0.011999286612216054, 0.1264593027330818, 0.005229392987684989]"
9.8,"[19.988906661928784, 49.88308839993538, 9.995165427229601]","[0.009059485410009671, 0.09547702668461966, 0.003948202172864512]","[0.011093338071216152, 0.11691160006461843, 0.004834572770398893]"
9.9,"[19.989744211173605, 49.891915249141306, 9.995530438441456]","[0.008375492448216448, 0.08826849205922827, 0.003650112118540605]","[0.010255788826395218, 0.10808475085869418, 0.004469561558543944]"
10.0,"[19.9905185252828, 49.900075669465394, 9.995867891233754]","[0.007743141091932415, 0.08160420324092144, 0.003374527922979098]","[0.009481474717201621, 0.09992433053460559, 0.004132108766246034]"
